,Text,DateCreated
0,How mental illness factors into San Francisco's homeless population https://t.co/7Dj7dspuRb,Thu Jun 30 05:30:08 +0000 2016
1,RT @invisiblepeople: T.J. has been homeless in San Francisco for the last three years. https://t.co/3QZHQyY291 #SFHomelessProject,Thu Jun 30 05:28:05 +0000 2016
2,"RT @MidniteMission: ""From homeless in San Francisco to a job in the tech industry.""

Founded in 1914, The Midnight Mission offers... https:",Thu Jun 30 05:25:35 +0000 2016
3,We can learn from kids and their empathy for San Francisco's homeless - SF Gate https://t.co/v1CfvCxr0e,Thu Jun 30 05:23:35 +0000 2016
4,"RT @BuzzFeedNews: Can you make it through the night as one of the more than 6,500 homeless people in San Francisco? #SFHomelessProject http",Thu Jun 30 05:22:13 +0000 2016
5,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 05:19:30 +0000 2016
6,RT @KathyStocker: From homeless in San Francisco to a job in the tech industry https://t.co/fvK1zMyiXY #SFHomelessProject,Thu Jun 30 05:17:55 +0000 2016
7,"RT @MidniteMission: ""From homeless in San Francisco to a job in the tech industry.""

Founded in 1914, The Midnight Mission offers... https:",Thu Jun 30 05:13:30 +0000 2016
8,L'emergenza #homeless a #SanFrancisco: How many people live on San Francisco streets? https://t.co/ZxSjFZ5vzz #SFHomelessProject,Thu Jun 30 05:13:25 +0000 2016
9,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 05:12:54 +0000 2016
10,Media unites to highlight San Francisco homeless crisis https://t.co/GbPuss3AkB,Thu Jun 30 05:12:50 +0000 2016
11,"RT @BuzzFeedNews: Can you make it through the night as one of the more than 6,500 homeless people in San Francisco? #SFHomelessProject http",Thu Jun 30 05:11:03 +0000 2016
12,Media unites to highlight San Francisco homeless crisis June 29 - CNNMoney https://t.co/1h9Gkgi7Ue,Thu Jun 30 05:08:47 +0000 2016
13,RT @CityLab: San Francisco homelessness looks just like it did 20 years ago https://t.co/FluLs97Q1b #cityreads #SFHomelessProject https://t,Thu Jun 30 05:05:47 +0000 2016
14,RT @KQEDnews: A #homeless protest in 1983 San Francisco. What's changed in the Bay? https://t.co/YDvmpaWmnF #SFHomelessProject https://t.co,Thu Jun 30 05:04:56 +0000 2016
15,"FinancialDocCMJ: CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/rhsSXfpJ7D https://t.co/EzYPsgOboG",Thu Jun 30 05:04:18 +0000 2016
